Time/yr,Radius/pc
25.78201958,1.143283379
8.087753115,0.9709071213
51.93876132,1.360086506
72.71029152,1.563857752
94.25113765,1.729718068
118.0999316,1.898540176
137.3328299,2.073878224
164.2588876,2.247202255
201.9553683,2.448100563
244.2677447,2.660905272
271.9631183,2.82190825
309.659599,2.981445142
352.7412913,3.161818236
395.8229835,3.34374627
438.9046758,3.5101249
481.9863681,3.670283768
525.0680603,3.825777814
567.3804367,3.979494786
613.0265154,4.130546146
662.3909544,4.290705013
717.140605,4.463648947
778.1730024,4.626572154
826.6399062,4.802280426
888.8146212,4.950423845
955.884983,5.15058709
1021.105878,5.283275343
1068.974425,5.438473211
1128.211752,5.598409944
1192.83429,5.747684229
1257.456829,5.896958513
1322.079367,6.046232798
1386.701906,6.195507083
1451.324444,6.332341844
1515.946982,6.454663827
1580.569521,6.593571842
1645.192059,6.73455311
1709.814598,6.850655332
1774.437136,6.989563347
1839.059675,7.10151906
1903.682213,7.234207313
1968.304751,7.346163027
2032.92729,7.470558264
2097.549828,7.586660485
2162.172367,7.696542945
2226.794905,7.812645166
2291.417443,7.926674133
2356.039982,8.032410085
2420.66252,8.142292545
2485.285059,8.248028496
2549.907597,8.351691194
2614.530135,8.459500399
2679.152674,8.561089843
2743.775212,8.664752541
2808.397751,8.749755953
2873.020289,8.782928016
2937.642827,8.880370952
3002.265366,8.975740634
3066.887904,9.071110315
3131.510443,9.158186981
3196.132981,9.253556663
3260.755519,9.344779837
3325.378058,9.429783249
3390.000596,9.518933169
3454.623135,9.603936581
3519.245673,9.682720232
3583.868211,9.773943406
3648.49075,9.85480031
3713.113288,9.931510706
3777.735827,10.02066063
3842.358365,10.09944428
3906.980903,10.17615467
3971.603442,10.25079181
4036.22598,10.32750221
4100.848519,10.40421261
4165.471057,10.4767765
4230.093595,10.55348689
4294.716134,10.62605078
4359.338672,10.70276118
4423.961211,10.77325181
4488.583749,10.84788895
4553.206287,10.92045284
4617.828826,10.98887022
4682.451364,11.0572876
4747.073903,11.12363173
4811.696441,11.19412236
4876.318979,11.26253974
4940.941518,11.32681062
5005.564056,11.395228
5070.186595,11.46157212
5134.809133,11.52169649
5199.431671,11.59218712
5264.05421,11.65645799
5328.676748,11.71865561
5393.299287,11.77670672
5457.921825,11.84305085
5522.544363,11.90939498
5587.166902,11.96744609
5651.78944,12.0254972
5716.411979,12.08769482
5781.034517,12.14989244
5845.657055,12.21209005
5910.279594,12.26806791
5974.902132,12.32611902
6039.524671,12.38417013
6104.147209,12.4442945
6168.769747,12.50234561
6233.392286,12.56246997
6298.014824,12.61637458
6362.637363,12.67027918
6427.259901,12.72833029
6491.882439,12.78430815
6556.504978,12.840286
6621.127516,12.89626386
6685.750055,12.94809521
6750.372593,13.00407306
6814.995131,13.06005092
6879.61767,13.11188227
6944.240208,13.16371362
7008.862747,13.21761822
7073.485285,13.26944957
7138.107823,13.32128092
7202.730362,13.37518552
7267.3529,13.42494362
7331.975439,13.47677497
7396.597977,13.52860631
7461.220515,13.57836441
7525.843054,13.6281225
7590.465592,13.6778806
7655.088131,13.72763869
7719.710669,13.7815433
7784.333207,13.83130139
7848.955746,13.87898623
7913.578284,13.92667107
7978.200823,13.97642917
8042.823361,14.02618726
8107.445899,14.0738721
8172.068438,14.12155694
8236.690976,14.17131504
8301.313515,14.21692663
8365.936053,14.26461147
8430.558591,14.3081498
8495.18113,14.3579079
8559.803668,14.40351948
8624.426207,14.45120432
8689.048745,14.49681591
8753.671284,14.54035424
8818.293822,14.58596583
8882.91636,14.63365067
8947.538899,14.67926226
9012.161437,14.72487385
9076.783976,14.77048543
9141.406514,14.81402377
9206.029052,14.85963535
9270.651591,14.90110043
9335.274129,14.94463876
9399.896668,14.9881771
9464.519206,15.03171543
9529.141744,15.07525376
9593.764283,15.12086535
9658.386821,15.16647694
9723.00936,15.20794202
9787.631898,15.2494071
9852.254436,15.29087217
9916.876975,15.33233725
9981.499513,15.37587559
10046.12205,15.41941392
10110.74459,15.460879
10175.36713,15.50234408
10239.98967,15.54380916
10304.61221,15.58112773
10369.23474,15.62466606
10433.85728,15.66820439
10498.47982,15.70966947
10563.10236,15.74698804
10627.7249,15.78637987
10692.34744,15.82784495
10756.96997,15.87138328
10821.59251,15.91284836
10886.21505,15.95016693
10950.83759,15.9874855
11015.46013,16.02687733
11080.08267,16.07041566
11144.7052,16.11188074
11209.32774,16.14712606
11273.95028,16.18237137
11338.57282,16.22383645
11403.19536,16.26737479
11467.8179,16.3026201
11532.44043,16.33993867
11597.06297,16.37518399
11661.68551,16.41872232
11726.30805,16.45811415
11790.93059,16.49335947
11855.55313,16.52445828
11920.17567,16.55763034
11984.7982,16.57421637
12038.65032,16.58250939
